Time (ns),Distance (Å)
0.3375,9.134999528936872
0.34,9.018372526436305
0.3425,8.839575408206757
0.345,9.058422176139
0.3475,8.812418192197546
0.35,9.184912383555487
0.3525,9.234447637999045
0.355,9.144188505039345
0.3575,9.019689043237875
0.36,8.96393663244903
0.3625,9.167161946275032
0.365,9.064717443479196
0.3675,9.047979496837279
0.37,8.643020777414225
0.3725,8.974656794785796
0.375,9.060159745251092
0.3775,8.857446163661558
0.38,8.876094259945548
0.3825,8.843806924044507
0.385,8.955608758418686
0.3875,8.471239676751477
0.39,9.14721633501018
0.3925,9.072354188716542
0.395,8.897986843321762
0.3975,8.806849459352124
0.4,8.962698734733413
0.4025,9.095088369450592
0.405,8.966086339199741
0.4075,8.381699205821459
0.41,8.769271378070979
0.4125,8.829075890688793
0.415,8.78494657423129
0.4175,8.899893971717558
0.42,8.837077560475228
0.4225,9.436843758047495
0.425,9.00202531079617
0.4275,8.89818690072289
0.43,9.081377151718831
0.4325,9.020998165394815
0.435,9.330799178744684
0.4375,8.818851643127104
0.44,8.762901496595482
0.4425,8.630239699638654
0.445,8.85599379188731
0.4475,8.931086864731297
0.45,8.991474422279591
0.4525,8.817656213610498
0.455,9.168910586994679
0.4575,9.014800023635805
0.46,8.655642893056372
0.4625,8.818057082996983
0.465,8.904993945247972
0.4675,8.872305050478513
0.47,8.637991197828503
0.4725,9.19727809812652
0.475,8.747143303995362
0.4775,9.046750373961274
0.48,8.88537339584546
0.4825,8.610424012817841
0.485,9.016946619051685
0.4875,8.915071636341072
0.49,9.000211676428021
0.4925,8.730026438744092
0.495,8.912205033076923
0.4975,8.928577872497558
0.5,8.904495718018033
0.5025,9.110790770509722
0.505,8.948370439631258
0.5075,8.81238459712767
0.51,8.855483948427715
0.5125,8.936188360169398
0.515,9.0557896568046
0.5175,8.980339282021129
0.52,8.9742920522738
0.5225,9.019671707670094
0.525,8.834013684903978
0.5275,8.963937148459257
0.53,8.8017605623999
0.5325,9.114269393872187
0.535,8.50401306180414
0.5375,8.979855846073697
0.54,8.875439702007201
0.5425,8.923366533393676
0.545,8.756404266410456
0.5475,8.843925622465077
0.55,8.848645845045517
0.5525,9.060991156570338
0.555,9.010972549225949
0.5575,8.632005801082148
0.56,8.864473970260521
0.5625,8.55587439347415
0.565,8.7337218850461
0.5675,8.724254708138057
0.57,8.769720290893709
0.5725,8.725071733863253
0.575,8.850455164008252
0.5775,8.829775418394615
0.58,9.082037308580736
0.5825,8.721898007558966
0.585,9.026124977009903
0.5875,8.906092584942503
0.59,9.005167024028424
0.5925,8.835408621078107
0.595,8.910292367200142
0.5975,8.848493125323937
0.6,8.8737452016927
0.6025,8.87610558434581
0.605,9.004256062028944
0.6075,8.834623464265556
0.61,8.656298040044218
0.6125,8.839697775297857
0.615,8.926196315697451
0.6175,8.841592206179303
0.62,8.563307044796057
0.6225,8.829528660648345
0.625,8.84048058407954
0.6275,9.036948954219852
0.63,8.933284870388777
0.6325,8.816339986742525
0.635,8.728503115668643
0.6375,8.952074439291236
0.64,8.902135735774845
0.6425,8.9556815348844
0.645,9.101700009974476
0.6475,8.993836369071548
0.65,8.858250523555078
0.6525,8.799934979385446
0.655,9.055371640058256
0.6575,9.050471220837505
0.66,8.760781969596044
0.6625,8.8336311871227
0.665,9.178646430897809
0.6675,9.003359549756112
0.67,8.940532621620141
0.6725,8.698187053647857
0.675,8.766961131707353
0.6775,8.951264642870983
0.68,8.898766704116259
0.6825,8.76653279048802
0.685,8.80239595174195
0.6875,8.849282195045312
0.69,8.88399545600259
0.6925,8.876596898083736
0.695,9.014909581052372
0.6975,8.765008621546645
0.7,8.990095281543848
0.7025,9.03929866172409
0.705,8.97592879846183
0.7075,9.10811425501535
0.71,9.17061162821094
0.7125,9.037272641563964
0.715,9.148803001534679
0.7175,8.783748556692268
0.72,9.071219422144168
0.7225,8.93924590186958
0.725,9.099036857032582
0.7275,8.93797213831866
0.73,8.905270672224683
0.7325,8.99999006594527
0.735,8.82434549642705
0.7375,8.865330209132749
0.74,8.957571501013966
0.7425,8.936897431604956
0.745,9.13705937886445
0.7475,8.956946810150331
0.75,9.039574788643927
0.7525,8.855595607168553
0.755,8.80459314776229
0.7575,9.079195640160497
0.76,9.017450084907244
0.7625,8.963988394083046
0.765,8.893059072708878
0.7675,8.905920398149506
0.77,8.992002252153464
0.7725,8.614768469709936
0.775,9.085099803304672
0.7775,8.870764926813573
0.78,8.888259753531111
0.7825,9.147994949665932
0.785,9.223392862212979
0.7875,8.958543314678945
0.79,9.076882653090518
0.7925,8.983501287140717
0.795,9.064136693197549
0.7975,8.609037293122183
0.8,8.810149861595328
0.8025,9.170284454002529
0.805,9.063276348571383
0.8075,8.788975418198632
0.81,9.091557747161055
0.8125,8.924362080135417
0.815,9.087021926133264
0.8175,8.738410086708646
0.82,9.11967113187186
0.8225,8.834405352934525
0.825,9.068390663619422
0.8275,9.134348961489843
0.83,9.073750439710713
0.8325,8.699803976292687
0.835,9.33382081380143
0.8375,9.243668741561741
0.84,8.806278642994238
0.8425,8.903404902987598
0.845,8.800259567950771
0.8475,8.888876790228998
0.85,8.862783532810061
0.8525,8.890322282839982
0.855,8.996504448169333
0.8575,8.864328748123896
0.86,8.560566782125159
0.8625,8.760430957150028
0.865,8.803191840239775
0.8675,8.934352929137034
0.87,8.992143053768942
0.8725,8.917320121572548
0.875,8.656686135672352
0.8775,9.016502138979162
0.88,8.86221115756353
0.8825,8.900685381920027
0.885,8.896392958861394
0.8875,8.814054699850344
0.89,9.064947672457176
0.8925,9.043828995801181
0.895,8.910941741758236
0.8975,8.870588647468788
0.9,8.532995164818603
0.9025,8.9352675682805
0.905,8.719985588291845
0.9075,9.000334729298434
0.91,8.947674860619243
0.9125,8.967902136413146
0.915,8.59983176247514
0.9175,8.884538360195945
0.92,9.063611706483007
0.9225,8.976282368343265
0.925,9.028381667814216
0.9275,8.955133396637063
0.93,8.944875117800025
0.9325,8.790871665048925
0.935,8.973271840294299
0.9375,8.891798158253952
0.94,8.755572999240789
0.9425,8.271742845753938
0.945,8.901297142527264
0.9475,8.94099067140415
0.95,8.65023251220804
0.9525,8.547661378593082
0.955,9.010131823252056
0.9575,8.780908766997548
0.96,8.867789229737083
0.9625,9.352965175410281
0.965,9.222201868435912
0.9675,8.976358699611184
0.97,9.019341771681427
0.9725,8.956981010424501
0.975,8.863590783633054
0.9775,9.03287392142863
0.98,8.881950546461606
0.9825,9.127482966566939
0.985,8.848263527404002
0.9875,8.808151426782388
0.99,9.258871150647584
0.9925,9.031335886135382
0.995,9.135807846157093
0.9975,9.165292009208509
1.0,8.744031881755292
1.0025,9.116196826374017
1.005,9.00946106584563
1.0075,9.106935284021002
1.01,8.846808711166958
1.0125,9.103154745292802
1.015,8.959336243598642
1.0175,8.766807268920369
1.02,8.977823772502962
1.0225,9.237723781872848
1.025,9.04617996320946
1.0275,8.916650219547181
1.03,8.955774312083625
1.0325,9.261783395319737
1.035,9.033681753840288
1.0375,8.908069753712716
1.04,8.980739526666623
1.0425,9.035013165862923
1.045,8.886065173573442
1.0475,8.841834883354771
1.05,9.010724152428772
1.0525,8.924920798002624
1.055,8.68447232267169
1.0575,9.052401440308751
1.06,9.046572832166532
1.0625,9.024032985287498
1.065,8.907481541158125
1.0675,8.96721809071993
1.07,8.857100434722597
1.0725,8.871111445783477
1.075,8.999649402438218
1.0775,9.217234322495736
1.08,9.062895761928822
1.0825,8.683307128803627
1.085,8.829618796885628
1.0875,9.012535598156116
1.09,8.937230933737867
1.0925,8.912991851020402
1.095,8.912786242372999
1.0975,8.86653102761836
1.1,9.105745115732683
1.1025,8.846999657696328
1.105,9.035489653143246
1.1075,8.855768375667243
1.11,8.82109263038719
1.1125,8.908875672539251
1.115,8.97414515470176
1.1175,9.343081947135222
1.12,9.311463116651872
1.1225,8.868596882923296
1.125,9.047533500639412
1.1275,8.983010555432855
1.13,9.14327881523859
1.1325,9.052939013894221
1.135,9.156684879430173
1.1375,8.778436718787157
1.14,8.9489276479208
1.1425,9.022249353760849
1.145,8.97065031112939
1.1475,9.08923570791372
1.15,8.933738207467682
1.1525,8.892737034553033
1.155,8.989288958477902
1.1575,8.770371016471751
1.16,9.310213838417766
1.1625,9.210350446875939
1.165,9.194789947269696
1.1675,8.959705314604268
1.17,8.84332929722386
1.1725,8.758190259406469
1.175,8.9778005426963
1.1775,9.056196422046774
1.18,9.045976638861136
1.1825,9.0805463475609
1.185,8.777984519416709
1.1875,9.086479290216591
1.19,9.164610463129822
1.1925,8.96437203370974
1.195,8.925761476515799
1.1975,8.871534147301723
1.2,8.802259992181739
1.2025,9.039523452402943
1.205,9.055836904767375
1.2075,9.012403268283306
1.21,8.74850183954668
1.2125,9.012846289165731
1.215,9.260884155430183
1.2175,8.891041925537575
1.22,8.820849046420905
1.2225,8.91789780708969
1.225,8.783241079243508
1.2275,8.923689194248333
1.23,8.54654820286582
1.2325,9.009755694931036
1.235,8.881511776839123
1.2375,8.70297872052745
1.24,9.08512435304906
1.2425,8.926909877490928
1.245,8.955138461741717
1.2475,8.776721619882471
1.25,9.064370654830677
1.2525,9.02811734395562
1.255,8.51284530672747
1.2575,9.113686159344836
1.26,9.006978743021822
1.2625,8.872887915565183
1.265,8.966831749722575
1.2675,8.909888753789796
1.27,8.597173677806529
1.2725,8.993701049119206
1.275,9.030248073976164
1.2775,9.089482617160288
1.28,9.07152782789334
1.2825,9.042019309759658
1.285,8.734221575575038
1.2875,8.756267519665572
1.29,8.868559464658887
1.2925,8.93522064069685
1.295,8.976015168178135
1.2975,8.58130207052652
1.3,8.453123867942589
1.3025,9.007824950067759
1.305,9.042117455809688
1.3075,9.163655291835527
1.31,8.941007980882091
1.3125,8.474026633840293
1.315,9.00383689187876
1.3175,8.769880354280424
1.32,8.954789054011874
1.3225,8.895827222869322
1.325,8.778093216589138
1.3275,9.041337279745422
1.33,8.520959217603256
1.3325,8.856172806563496
1.335,9.0963388579386
1.3375,9.1584561917456
1.34,9.16376411255725
1.3425,8.73968038688796
1.345,8.798770882782273
1.3475,9.026722470482158
1.35,8.881836097981251
1.3525,9.033774624790672
1.355,8.674961650972929
1.3575,8.906108313512716
1.36,9.120045454920525
1.3625,8.92424721874984
1.365,9.159232916456487
1.3675,8.901427649047374
1.37,8.921125859381545
1.3725,9.23203795644254
1.375,9.09066188071598
1.3775,8.893311156862582
1.38,9.094224844469371
1.3825,8.915984766994372
1.385,8.847827101817733
1.3875,8.93725915174977
1.39,9.17028369612104
1.3925,8.759276735693282
1.395,8.856474587708401
1.3975,9.139947538718262
1.4,8.9366873743841
1.4025,8.76722125853092
1.405,8.939180044565198
1.4075,9.10370317983966
1.41,8.861565537861203
1.4125,9.104757101454918
1.415,8.841642206379086
1.4175,8.7681132856227
1.42,8.705298665120184
1.4225,8.83693364281085
1.425,8.573364251669206
1.4275,8.897427853442764
1.43,9.174183257029199
1.4325,9.162985003223053
1.435,8.754929702317158
1.4375,9.050204195886751
1.44,8.732520548426113
1.4425,8.76404414716465
1.445,9.06910153398404
1.4475,8.932267487853034
1.45,8.781124421738184
1.4525,8.74038990105225
1.455,8.888899117997898
1.4575,8.98973561193899
1.46,8.775955071471312
1.4625,8.947666086211468
1.465,8.941528094463505
1.4675,8.900657346366044
1.47,8.900931015945762
1.4725,9.204318972130233
1.475,8.980532490503355
1.4775,8.841683334220908
1.48,8.906369795233477
1.4825,9.033386893486314
1.485,9.272439073832269
1.4875,8.765239320221717
1.49,8.838986315921947
1.4925,8.809508552059167
1.495,8.809280436715943
1.4975,8.866857241993078
1.5,9.113701727011598
1.5025,8.894595571537657
1.505,8.981702150606866
1.5075,9.02346219271095
1.51,8.753298411512203
1.5125,8.936025192743777
1.515,8.515885873924748
1.5175,8.743239324704907
1.52,8.78085707953165
1.5225,8.514010228252424
1.525,8.717390357079807
1.5275,9.023997193347638
1.53,8.88786575810188
1.5325,8.92577241265269
1.535,9.173763985800381
1.5375,9.004959837795381
1.54,9.055962878451917
1.5425,9.221523497263705
1.545,9.073759139017827
1.5475,8.934924324969492
1.55,8.905422070012708
1.5525,9.164721299722824
1.555,8.741907512361156
1.5575,9.100672645719637
1.56,8.756046828756114
1.5625,8.94815004401626
1.565,9.003982067851803
1.5675,9.013470541021745
1.57,8.933678242561573
1.5725,8.814857278841517
1.575,8.922259816781695
1.5775,8.91882308921508
1.58,9.049143710542511
1.5825,8.853979307379735
1.585,9.219433249657929
1.5875,8.868785392566668
1.59,9.09945392491437
1.5925,8.916245129919199
1.595,8.996814724790692
1.5975,9.028416155222848
1.6,8.93026240703049
1.6025,8.810094769084516
1.605,8.970692848066012
1.6075,8.774793037420867
1.61,8.717360651761375
1.6125,9.000145879837621
1.615,8.950452789527656
1.6175,9.081947637256128
1.62,8.872141438886421
1.6225,8.838433287698003
1.625,9.032504698895153
1.6275,8.866304750111272
1.63,8.774316973457804
1.6325,9.011910650197402
1.635,9.052073682510724
1.6375,9.098908163764474
1.64,8.674679625499456
1.6425,9.05740889292527
1.645,9.161642156048707
1.6475,8.940726283005898
1.65,9.118712385833316
1.6525,9.043074592309791
1.655,9.155570871513167
1.6575,8.901826454634566
1.66,8.42038366231995
1.6625,8.793239448682336
1.665,8.829248803330291
1.6675,9.138123659107958
1.67,8.727503493575762
1.6725,8.927401216384823
1.675,8.773605005421974
1.6775,9.180727877202791
1.68,9.234100526994874
1.6825,9.077653919641971
1.685,9.087803100505658
1.6875,8.972057342877024
1.69,8.835886835282695
1.6925,9.164595695732128
1.695,9.076238803609362
1.6975,8.679107376703834
1.7,8.733523825065491
1.7025,8.743755718995923
