Frame,Donor ID,Hydrogen ID,Acceptor ID,Distance (Å),Angle (Degrees)
0.0,7846.0,7847.0,16.0,2.925288295429263,152.8164250050309
0.0,58606.0,58607.0,16.0,2.776560200301744,151.52969679480861
1.0,7846.0,7848.0,16.0,2.641630352045301,150.42436378229215
1.0,58606.0,58607.0,16.0,2.905799844315909,157.1811404392032
2.0,58606.0,58608.0,16.0,2.5925048138906575,169.32205780350654
3.0,58606.0,58608.0,16.0,2.9967618383424766,172.5952799115756
5.0,7846.0,7847.0,16.0,2.7995016124306824,168.70402136885852
5.0,58606.0,58608.0,16.0,2.969931247886103,159.00581738242323
6.0,58606.0,58608.0,16.0,2.9764783008282207,164.96935414730936
8.0,5323.0,5324.0,16.0,2.7404567629482273,156.5198113481469
10.0,9166.0,9168.0,16.0,2.757353738432146,158.90605096703865
10.0,58606.0,58608.0,16.0,2.843152615740535,159.65745609919648
11.0,58606.0,58608.0,16.0,2.9349790506402305,163.0794839996972
13.0,58606.0,58608.0,16.0,2.990245695391624,171.22466063287786
14.0,58606.0,58608.0,16.0,2.682029061656864,155.0875621979779
15.0,58606.0,58608.0,16.0,2.9663607356886375,151.32601372782233
16.0,58606.0,58608.0,16.0,2.7708987029249497,160.2052179583903
18.0,58606.0,58608.0,16.0,2.6298470495489497,170.83165339804242
19.0,15724.0,15726.0,16.0,2.9034284205581415,164.18760574840263
23.0,58606.0,58608.0,16.0,2.952306529841031,165.4520932886263
24.0,58606.0,58608.0,16.0,2.7914512655626957,155.7820160781238
25.0,58606.0,58608.0,16.0,2.6700390959979847,175.9992543332891
26.0,58606.0,58608.0,16.0,2.8008797711909263,157.4344367757542
27.0,21718.0,21720.0,16.0,2.8936497923568734,154.75641365881307
30.0,58606.0,58608.0,16.0,2.5550705360720936,161.52736192718714
31.0,58606.0,58607.0,16.0,2.775807272305838,151.77362751857214
32.0,58606.0,58608.0,16.0,2.940005252065749,163.09801856216535
34.0,58606.0,58608.0,16.0,2.9333134051098684,158.60038099024203
35.0,10822.0,10824.0,16.0,2.796964032188165,172.893476033588
36.0,20998.0,21000.0,16.0,3.2099388919218645,159.20358743486818
36.0,58606.0,58608.0,16.0,2.988715585590209,162.20859630850185
37.0,37384.0,37385.0,16.0,2.928836405328533,167.16228597534558
37.0,58606.0,58608.0,16.0,2.7112741399938494,156.87531178861173
38.0,37384.0,37386.0,16.0,2.705402059792081,166.05401681469127
38.0,58606.0,58608.0,16.0,2.9761369152963404,162.20495874038866
39.0,58606.0,58608.0,16.0,2.76247867186269,177.796850583717
43.0,58606.0,58607.0,16.0,2.611725811999781,167.45322267855522
44.0,37894.0,37895.0,16.0,3.248261524722282,156.7386524726067
44.0,58606.0,58607.0,16.0,2.536727746739322,169.7455454136377
46.0,10822.0,10824.0,16.0,2.9897660428356367,164.9700552891677
46.0,11971.0,11973.0,16.0,2.8367584106611354,157.85258714860478
49.0,15346.0,15348.0,16.0,2.724205227173169,152.36570840752486
52.0,7528.0,7529.0,16.0,2.7425169423814544,164.11955079148623
53.0,7990.0,7991.0,16.0,2.7440661290038224,173.99243006025577
53.0,18970.0,18972.0,16.0,2.9456594737282322,175.48368587152623
54.0,18970.0,18972.0,16.0,2.651601101780209,159.02233626606125
56.0,18970.0,18971.0,16.0,2.6773712499364275,176.23137679239315
60.0,10468.0,10470.0,16.0,2.6841206044643897,155.5515730048475
61.0,18964.0,18966.0,16.0,2.8379225936718093,163.94892622652742
63.0,18970.0,18971.0,16.0,2.843765548320799,152.50167222183725
64.0,18970.0,18971.0,16.0,2.6767499502096905,157.5573056963742
66.0,51388.0,51389.0,16.0,3.3936858218258323,175.329056255588
67.0,18970.0,18971.0,16.0,2.678078366779918,158.22330852805467
69.0,18970.0,18971.0,16.0,2.585203546384599,164.06009467196915
71.0,18970.0,18971.0,16.0,2.9565159859787884,165.64494946981827
75.0,60223.0,60225.0,16.0,2.756593397353513,173.23808766426387
76.0,60223.0,60225.0,16.0,2.6484152931340392,159.87088674123555
77.0,60223.0,60225.0,16.0,2.7628091545620586,159.5417694868002
81.0,60223.0,60224.0,16.0,2.7716402437563468,152.98166759464868
82.0,8119.0,8121.0,16.0,3.127139975843288,155.4884761126635
82.0,60223.0,60224.0,16.0,2.739886197029462,172.50773219106165
83.0,8119.0,8121.0,16.0,3.0750932090162375,161.63495625331174
84.0,60223.0,60224.0,16.0,2.6569295338845422,167.81132377065236
85.0,8119.0,8121.0,16.0,2.7429562264289866,158.80334024007894
86.0,8119.0,8120.0,16.0,2.985060550620112,163.0281119489759
87.0,60223.0,60224.0,16.0,3.0367880190720347,173.6174941240625
88.0,60223.0,60224.0,16.0,2.876122926010598,158.1354876433056
89.0,17932.0,17933.0,16.0,2.709774082242461,156.7522643216214
90.0,60223.0,60224.0,16.0,2.6199466973900014,175.7072631928601
91.0,60223.0,60224.0,16.0,2.9262567285074623,177.44003679767394
92.0,21658.0,21659.0,16.0,3.0371828729911847,174.66995683854788
94.0,60223.0,60224.0,16.0,2.7243182201936644,150.54296899299584
95.0,60223.0,60224.0,16.0,2.895983111435875,159.14566573794937
96.0,24340.0,24341.0,16.0,3.354130597088874,151.84085663104585
97.0,60223.0,60224.0,16.0,3.455091972726294,160.8855721553498
98.0,9730.0,9732.0,16.0,2.6830223736403767,160.08511914264184
100.0,22393.0,22394.0,16.0,2.760073073355766,161.60865741906667
101.0,57802.0,57803.0,16.0,3.11975800910473,172.98693927983342
102.0,57802.0,57803.0,16.0,2.8721242369520965,156.4010136316148
103.0,19342.0,19344.0,16.0,2.6335161205801163,170.213955098103
103.0,59836.0,59838.0,16.0,2.5879737702144205,158.5820763666974
105.0,19342.0,19344.0,16.0,3.274063197262104,165.11238711455795
107.0,57802.0,57804.0,16.0,2.810446454215386,169.27891734627468
110.0,57802.0,57804.0,16.0,2.830881196607294,152.31740533242092
111.0,57802.0,57804.0,16.0,2.6472990566848154,162.79886504065877
112.0,2929.0,2930.0,16.0,2.6108046612883435,154.84286785536915
114.0,24340.0,24342.0,16.0,2.7563376584936785,150.2958887047163
116.0,24340.0,24342.0,16.0,2.753291256491104,155.1898947517115
