Frame,Donor ID,Hydrogen ID,Acceptor ID,Distance (Å),Angle (Degrees)
1338.0,739.0,740.0,29365.0,2.861340949136187,179.1767766667027
1339.0,739.0,740.0,29365.0,3.1790245704175097,155.76246248544035
1489.0,739.0,740.0,9421.0,2.857780447887461,157.28935874229782
2862.0,739.0,740.0,53245.0,2.954419873514403,155.11144748392303
3354.0,739.0,740.0,20998.0,2.880604802249182,177.7584747337631
4866.0,739.0,740.0,19147.0,3.4082570031021646,169.90496955528025
4868.0,739.0,740.0,43186.0,2.8389284265298858,150.6713649376399
4872.0,739.0,740.0,5467.0,3.00674496941572,163.3804673279905
4881.0,739.0,740.0,27418.0,2.943332597205225,168.9654996108259
6871.0,739.0,740.0,34204.0,3.0018838842246645,177.82607071569285
6872.0,739.0,740.0,34204.0,2.8561873462644405,162.81452511173094
6873.0,739.0,740.0,34204.0,2.7634921357585815,159.37382695774252
6874.0,739.0,740.0,34204.0,2.9367549274454916,164.86117925620803
6876.0,739.0,740.0,60820.0,3.2035480872781545,155.8240224193222
6878.0,739.0,740.0,34504.0,2.991736663734543,171.25669440804984
6879.0,739.0,740.0,2068.0,3.1641943384000966,157.9053090975961
6880.0,739.0,740.0,34504.0,2.9418721020543552,151.24373957126488
6881.0,739.0,740.0,16738.0,2.9465546983963256,167.19681805075265
6882.0,739.0,740.0,16738.0,2.7700203201030194,170.44547685517458
6883.0,739.0,740.0,16738.0,3.108470817845095,166.83963303173715
6885.0,739.0,740.0,34504.0,2.9818790762821132,155.97589692076727
6888.0,739.0,740.0,34504.0,3.091035667008841,174.65573487285994
6890.0,739.0,740.0,34504.0,2.7886548423191835,176.32013247411032
6891.0,739.0,740.0,34504.0,2.733513499339847,155.30600435092808
6896.0,739.0,740.0,20011.0,3.0162887658458604,154.2233904447108
7968.0,739.0,740.0,11206.0,2.836937282686726,159.78058055778754
