Frame,Donor ID,Hydrogen ID,Acceptor ID,Distance (Å),Angle (Degrees)
12.0,22204.0,22205.0,17.0,2.9840075734446097,167.34763408223768
20.0,25093.0,25095.0,17.0,3.228530374017002,169.5258416271136
33.0,10822.0,10824.0,17.0,2.9882608968468767,162.61996115669064
53.0,37894.0,37896.0,17.0,3.1703150477873034,154.815806124818
65.0,49171.0,49173.0,17.0,2.831995822100632,169.3661772254477
68.0,9811.0,9812.0,17.0,2.984509830410345,166.1876516490038
72.0,9811.0,9812.0,17.0,3.00134763516875,165.13013957501977
77.0,9811.0,9812.0,17.0,3.13753023900256,170.11880839007364
80.0,48775.0,48777.0,17.0,2.809429566831906,160.91257053194062
84.0,8119.0,8121.0,17.0,3.076799717246131,161.85280459427645
88.0,38404.0,38405.0,17.0,3.18549950364637,153.39467110375907
94.0,18391.0,18393.0,17.0,2.948763134065815,154.4790330780078
97.0,59836.0,59837.0,17.0,2.862114461093035,167.72320300835878
102.0,59836.0,59837.0,17.0,2.968805315451089,166.81674153353435
105.0,16312.0,16314.0,17.0,3.033957096857551,164.86210128632655
107.0,16312.0,16313.0,17.0,2.9777985367259583,153.1637404704091
128.0,24340.0,24342.0,17.0,3.16083608497052,160.14204755422514
167.0,10624.0,10626.0,17.0,2.765519041033169,163.31119650359656
172.0,27301.0,27303.0,17.0,3.120896591528358,170.74256651316523
202.0,7264.0,7265.0,17.0,2.8796203569968726,155.52981163157068
204.0,7264.0,7266.0,17.0,3.2277215747098302,151.43139171649787
208.0,7462.0,7464.0,17.0,2.993225159306794,162.86985802101168
212.0,19372.0,19374.0,17.0,3.1988418225660817,153.8043775136782
224.0,59848.0,59850.0,17.0,2.914448567760867,150.78273110496448
225.0,59848.0,59850.0,17.0,3.3018926941461095,157.53088005093338
240.0,8650.0,8651.0,17.0,3.1200474671504286,167.60307666092882
244.0,62956.0,62958.0,17.0,2.9278315521371137,160.80105136086374
251.0,47599.0,47600.0,17.0,3.289892562175036,158.76910214032455
254.0,53074.0,53075.0,17.0,3.1744765556812955,156.85095988661382
259.0,36172.0,36173.0,17.0,3.104656414515173,161.51533002723585
270.0,38689.0,38690.0,17.0,3.087945513506694,169.00695189540917
277.0,58516.0,58518.0,17.0,3.0469660091188873,166.4239096938169
280.0,50692.0,50694.0,17.0,3.4679223966265855,164.7896144201421
281.0,56896.0,56897.0,17.0,3.300515739257774,174.33314012953878
284.0,56896.0,56898.0,17.0,3.102677769068704,164.68113454191894
306.0,44539.0,44540.0,17.0,3.2976338395269407,158.59241261010578
314.0,52408.0,52410.0,17.0,3.1136647947810703,153.73454725829492
324.0,4741.0,4743.0,17.0,3.3170010916291726,160.95707603448955
328.0,48718.0,48719.0,17.0,3.105510994690773,159.8587405321844
333.0,8542.0,8543.0,17.0,2.9969302106286198,158.28431570705806
334.0,8542.0,8544.0,17.0,2.898911626389672,162.2670962320363
350.0,16732.0,16734.0,17.0,3.2230732346500215,159.36786799764104
362.0,1231.0,1233.0,17.0,3.1719549349830247,158.27578656770325
381.0,34312.0,34314.0,17.0,3.002097359886048,169.0825372856747
408.0,20071.0,20073.0,17.0,2.8043903387283207,175.41108675677683
416.0,63445.0,63446.0,17.0,3.134103923886263,157.9950816174235
423.0,54304.0,54306.0,17.0,3.3358204333065102,157.66517522378896
424.0,54304.0,54306.0,17.0,3.0484927585864874,158.25626309915887
425.0,54304.0,54306.0,17.0,3.08831943787328,157.99932033603682
440.0,62236.0,62238.0,17.0,3.3008052002576616,156.06283547681574
450.0,8407.0,8409.0,17.0,3.455154523514646,159.02388941708392
462.0,25507.0,25509.0,17.0,3.464190081550761,171.25060535857722
466.0,8542.0,8543.0,17.0,3.181839250511297,158.7834374436333
