dist, time_vals,K1_forward,K1_reverse,K2_forward,K2_reverse
0,0,1.65E+06,5.75E+12,9.23E+11,9.97E+11
0.229,0.19,4.81E+03,1.01E+10,4.76E+11,4.76E+11
0.457,0.38,3.09E-01,3.89E+06,2.54E+12,1.87E+11
0.686,0.57,2.64E-07,1.36E+00,4.24E+11,1.96E+10
0.915,0.76,2.20E-15,7.90E-08,3.47E+12,1.81E+10
1.144,0.95,6.95E-25,1.93E-19,6.21E+12,6.21E+12
